RESULT,T11,T12,T13,T14,T15,T16,T17,T18,T19,T110,T111,T112,T113,T14,T15,T21,T22,T23,T24,T25,T26,T27,T28,T29,T210,T211,T212,"T213,T214",T215
Victory,IS-3,TS-54,SU-130PM,ISU-152K,Škoda T 56,M4A1 Revalorisé,LT-432,122 TM,M41 Walker Bulldog,Tiger II,Rheinmetall Skorpion G,LT-432,Rhm.-Borsig Waffenträger,Bofors Tornvagn,T26E4 SuperPershing,T-34-3,Type 59,Škoda T 56,Strv S1,Turtle Mk. I,IS-2-II,AMX M4 mle. 49 Liberté,Rheinmetall Skorpion G,Rhm.-Borsig Waffenträger,Tiger II,TVP VTU Koncept,ELC EVEN 90,LT-432,Bat.-Châtillon 12 t,VK 75.01 (K)
Victory,Panhard EBR 105,T30,60TP Lewandowskiego,Bat.-Châtillon 25 t AP,AE Phase I,Conqueror Gun Carriage,Object 705,E 75,Bat.-Châtillon 155 58,Leopard Prototyp A,Char Futur 4,Leopard Prototyp A,T 55A,G.W. E 100,Waffenträger auf Pz. IV,Prototipo Standard B,Оbject 279,FV4004 Conway,Cobra,UDES 16,G.W. E 100,Char Futur 4,Conqueror Gun Carriage,Leopard Prototyp A,IS-3-II,ST-I,Object 704,Object 705,Object 261,Panhard EBR 105
Defeat,TNH T Vz. 51,Kranvagn,T30,E 50,T95,Leopard 1,Tiger II,Grille 15,Lorraine 50 t,Rheinmetall Skorpion,T28,Bat.-Châtillon 25 t AP,IS-2-II,AMX 65 t,ELC EVEN 90,Waffenträger auf Pz. IV,Grille 15,Kranvagn,Progetto M40 mod. 65,AE Phase I,T30,Kunze Panzer,KV-4,TNH T Vz. 51,IS-5 (Object 730),Object 430,WZ-120-1G FT,LT-432,IS-3,ISU-152
Victory,Super Conqueror,Vz. 55,Bat.-Châtillon 25 t,Leopard Prototyp A,AMX M4 mle. 51,60TP Lewandowskiego,Super Conqueror,Škoda T 50,Bat.-Châtillon 25 t,Object 263,Progetto C50 mod. 66,T-54,E 100,Object 263,Kunze Panzer,WZ-111 model 5A,Kunze Panzer,60TP Lewandowskiego,Rinoceronte,E 75,Char Futur 4,Object 705A,WZ-111 model 5A,Char Futur 4,Leopard Prototyp A,Object 263,Conqueror,M48A5 Patton,Bat.-Châtillon 25 t,T30
Victory,Bat.-Châtillon Bourrasque,Leopard Prototyp A,E 75,Emil II,Object 257,Progetto M35 mod 46,M53/M55,Panhard EBR 90,TNH T Vz. 51,G.W. Tiger (P),Tiger II,ELC EVEN 90,Rheinmetall Skorpion,T-103,IS-3,Progetto M35 mod 46,M53/M55,GSOR 1008,ELC EVEN 90,Bat.-Châtillon Bourrasque,50TP prototyp,Kunze Panzer,Nameless,Lorraine 155 mle. 51,Object 257,Object 777 Version II,Rheinmetall Skorpion G,Panhard EBR 90,Emil II,WZ-114
Victory,Super Hellcat,Rheinmetall Skorpion G,ISU-152K,AMX 13 57 GF,Chrysler K,IS,IS-2-II,Carro d'assalto P.88,ASTRON Rex 105 mm,AMX 13 75,T20,T-54 first prototype,M-II-Y,Panther,Tiger I,Škoda T 56,Cz20_ShPTK_TVP_100_mm,VK 30.02 (D),Ferdinand,Vz. 44-1,FV4202,T29,122 TM,Tiger I,Konštrukta T-34/100,IS,O-Ho,AMX 13 57,Challenger,Type 62
Defeat,Object 260,T110E4,Grille 15,G.W. E 100,Super Conqueror,E 100,121B,Jagdpanzer E 100,STB-1,Manticore,FV215b (183),Object 277,Kranvagn,UDES 15/16,Panhard EBR 105,Vz. 55,FV4005 Stage II,Object 430U,G.W. E 100,T110E4,XM551 Sheridan,Object 140,Jagdpanzer E 100,121B,Strv 103B,E 100,T110E5,T57 Heavy Tank,Vz. 55,Panhard EBR 105
Victory,Type 62,T20,Jagdpanther,Type 5 Chi-Ri,Progetto M35 mod 46,Bretagne Panther,WZ-111-1G FT,Super Hellcat,Jagdpanzer IV,T-34-85M,Strv m/42-57 Alt A.2,Lorraine 155 mle. 50,Rheinmetall Skorpion,"VK 28.01 mit 10,5 cm L/28",Hummel,Panther,Strv m/42-57 Alt A.2,SU-130PM,AMX Canon d'assaut 105,Ikv 90 Typ B,P.44 Pantera,SU-100Y,T20,AT 8,G.W. Panther,Panther,M44,T37,VK 30.02 (M),T71
Victory,Vz. 55,Kranvagn,Super Conqueror,TVP T 50/51,E 100,IS-7,Object 268,Leopard 1,T92 HMC,114 SP2,Panhard EBR 105,Manticore,AMX M4 mle. 54,AMX 50 Foch (155),IS-7,T110E3,E 100,IS-7,Super Conqueror,T110E4,STB-1,60TP Lewandowskiego,Object 277,Object 261,IS-7,STB-1,Jagdpanzer E 100,CS-63,T-100 LT,Panhard EBR 105
Victory,AMX 13 57 GF,Rheinmetall Skorpion G,ISU-152K,Chrysler K,IS,Super Hellcat,IS-2-II,Carro d'assalto P.88,ASTRON Rex 105 mm,AMX 13 75,T20,T-54 first prototype,M-II-Y,Panther,Tiger I,Škoda T 56,Cz20_ShPTK_TVP_100_mm,VK 30.02 (D),Ferdinand,Vz. 44-1,FV4202,T29,122 TM,Tiger I,Konštrukta T-34/100,IS,O-Ho,AMX 13 57,Challenger,Type 62
Victory,T20,Type 62,Jagdpanther,Type 5 Chi-Ri,Progetto M35 mod 46,Bretagne Panther,WZ-111-1G FT,Super Hellcat,Jagdpanzer IV,T-34-85M,Strv m/42-57 Alt A.2,Lorraine 155 mle. 50,Rheinmetall Skorpion,"VK 28.01 mit 10,5 cm L/28",Hummel,Panther,Strv m/42-57 Alt A.2,SU-130PM,AMX Canon d'assaut 105,Ikv 90 Typ B,P.44 Pantera,SU-100Y,T20,AT 8,G.W. Panther,Panther,M44,T37,VK 30.02 (M),T71
Victory,Panhard AMD 178B,Type 64,SU-100Y,M44,Achilles,Type 58,M36 Jackson,M44,VK 28.01,T-34-85 Rudy,Type 4 Chi-To,KV-1S,T-150,Sherman Firefly,M6,VK 36.01 (H),Sherman VC Firefly,T-150,SU-100,T-150,Type 4 Chi-To,M44,B.U.G.I.,59-16,Sherman Firefly,Hummel,T37,Panhard AMD 178B,AT 8,Object 244
Defeat,MS-1,Pz.Kpfw. II,T-45,M2 Light Tank,Leichttraktor,Leichttraktor,Type 95 Ha-Go,Leichttraktor,4TP,Kolohousenka,Leichttraktor,MKA,Fiat 3000,MS-1,Strv fm/21,M2 Light Tank,M2 Light Tank,MKA,MKA,Type 95 Ha-Go,T1 Cunningham,Leichttraktor,4TP,Leichttraktor,MS-1,Leichttraktor,Strv fm/21,Leichttraktor,4TP,MS-1
Victory,STB-1,E 100,Char Futur 4,T30,M53/M55,FV4005 Stage II,IS-7,Strv 103B,Leopard Prototyp A,Leopard Prototyp A,VK 45.02 (P) Ausf. B,Leopard 1,T-100 LT,Concept 1B,Waffenträger auf Pz. IV,Leopard 1,AMX 50 Foch (155),STB-1,Waffenträger auf Pz. IV,Waffenträger auf Pz. IV,G.W. Tiger,Progetto C50 mod. 66,Maus,T110E4,TNH T Vz. 51,60TP Lewandowskiego,AMX 13 105,Leopard Prototyp A,Char Futur 4,Kunze Panzer
Victory,XM551 Sheridan,Object 430U,T95/FV4201 Chieftain,Object 261,M60,Type 5 Heavy,STB-1,E 100,IS-7,TVP T 50/51,E 100,WZ-113G FT,Leopard 1,STB-1,FV215b (183),CS-63,E 100,STB-1,AMX 50 Foch (155),STB-1,Grille 15,STB-1,Object 261,T-62A,FV215b,IS-7,E 50 Ausf. M,XM551 Sheridan,E 100,Kranvagn
Defeat,Sturer Emil,T-150,Super Hellcat,Škoda T 25,M36 Jackson,G.W. Panther,AMX 13 F3 AM,Bretagne Panther,T-34-85,M44,KV-1S,Jagdpanther,Comet,"VK 28.01 mit 10,5 cm L/28",KV-85,Škoda T 40,40TP Habicha,Challenger,IS,T-150,KV-85,M44,Krupp-Steyr Waffenträger,MT-25,KV-2,Super Hellcat,SU-8,M12,T-34-85,SU-100
Defeat,ISU-152,UDES 14 Alt 5,Chrysler K,Lansen C,Progetto M35 mod 46,Strv S1,T69,Tiger II,VK 75.01 (K),ELC EVEN 90,ELC EVEN 90,M46 Patton KR,LHMTV,IS-M,T-44,ELC EVEN 90,T-34-3,T26E4 SuperPershing,T28 Prototype,Object 703 II,FV1066 Senlac,Progetto M35 mod 46,IS-2-II,ELC EVEN 90,IS-3,Lansen C,T-44,Lorraine 40 t,Cz20_ShPTK_TVP_100_mm,Tiger II
Victory,M4A1 FL 10,T-34-85M,Pudel,M44,M44,T-50-2,M24E2 Super Chaffee,T78,Panhard AMD 178B,Cromwell B,VK 30.02 (M),ARL 44,"VK 28.01 mit 10,5 cm L/28",SU-100,KV-2,M4A3E8 Thunderbolt VII,M44,T78,T-34-85M,T-50-2,59-16,KV-2,FV304,P.43 bis,Dicker Max,Cromwell B,Panhard AMD 178B,Škoda T 25,"VK 28.01 mit 10,5 cm L/28",T-150
Victory,Prototipo Standard B,T110E5,AE Phase I,Object 261,T 55A,Spähpanzer Ru 251,CS-63,Object 777 Version II,Leopard Prototyp A,121B,Leopard Prototyp A,Panhard EBR 90,WZ-113G FT,Bat.-Châtillon 155 55,К-91-ПТ,Object 277,Kampfpanzer 50 t,Kampfpanzer 50 t,TVP T 50/51,Object 261,Centurion Action X,M53/M55,M46 Patton,TNH T Vz. 51,Panhard EBR 90,T110E4,Object 777 Version II,Kampfpanzer 50 t,T49,Tortoise
Victory,E 100,AE Phase I,STB-1,Vz. 55,T110E4,VK 100.01 (P),Cobra,Primo Victoria,Rheinmetall Skorpion G,Progetto M35 mod 46,Char Futur 4,Löwe,SU-130PM,Spähpanzer Ru 251,Prototipo Standard B,Rhm.-Borsig Waffenträger,Bat.-Châtillon 25 t,ISU-152K,Cobra,Char Futur 4,Emil II,Tiger II,Grille 15,Object 260,T49,E 100,E 75,T-54 first prototype,IS-3,T-44
Victory,Char Futur 4,AE Phase I,Škoda T 56,T-54,T49,EMIL 1951,T30,FV3805,Rheinmetall Skorpion,T28,M26 Pershing,VK 100.01 (P),Bat.-Châtillon Bourrasque,Leopard Prototyp A,leKpz M 41 90 mm GF,Emil II,T30,IS-3,T 55A,Rheinmetall Skorpion G,Bat.-Châtillon Bourrasque,WZ-120-1G FT,Bat.-Châtillon 155 55,Объект 274а,T34,Object 703 II,Leopard Prototyp A,ELC EVEN 90,Char Futur 4,T49
Defeat,Rheinmetall Skorpion G,AMX M4 mle. 49 Liberté,T-44,ELC EVEN 90,GSOR 1008,LT-432,T69,ELC EVEN 90,LTTB,M-IV-Y,Lorraine 40 t,Tiger II,STA-1,Panther II,Tiger II,Bat.-Châtillon Bourrasque,TS-5,Progetto M35 mod 46,"Panther mit 8,8 cm L/71",M54 Renegade,Lorraine 40 t,Indien-Panzer,110,ELC EVEN 90,ELC EVEN 90,IS-6,Tiger II,HWK 30,T-103,LTTB
Victory,FCM 36 Pak 40,Pz.Kpfw. III Ausf. E,Pz.Kpfw. S35 739 (f),M15/42,M22 Locust,Vickers Medium Mk. III,Convert. Medium Tank T3,Somua S35,M3 Stuart,Strv m/40L,Pz.Kpfw. III Ausf. E,Valentine,BT-5,LT vz. 38,Pz.Kpfw. I Ausf. C,FCM 36 Pak 40,Pz.Kpfw. IV Ausf. A,Valentine,Type 97 Chi-Ha,T-29,MTLS-1G14,Pz.Kpfw. III Ausf. E,M15/42,BT-7 artillery,Somua S35,T-46,Vickers Medium Mk. III,Strv m/40L,Pz.Kpfw. I Ausf. C,AMX 38
Defeat,Object 705A,Maus,Super Conqueror,T57 Heavy Tank,Object 140,Bat.-Châtillon 25 t,Progetto M40 mod. 65,STB-1,Bat.-Châtillon 155 58,T92 HMC,Panhard EBR 105,AMX 50 Foch (155),FV4005 Stage II,FV217 Badger,Object 268,Bat.-Châtillon 25 t,Bat.-Châtillon 25 t,E 100,T92 HMC,FV4005 Stage II,Object 277,Vz. 55,STB-1,Object 430U,Grille 15,G.W. E 100,Panhard EBR 105,AMX 50 B,CS-63,Jagdpanzer E 100
Victory,XM551 Sheridan,Kranvagn,AMX 30 B,ST-I,Grille 15,M53/M55,G.W. Tiger,M53/M55,T95,Char Futur 4,TNH T Vz. 51,Conqueror,Type 61,TVP T 50/51,T95,M53/M55,T57 Heavy Tank,Prototipo Standard B,M53/M55,Leopard 1,Object 268 Version 4,Object 268 Version 4,FV3805,CS-59,XM551 Sheridan,WZ-114,E 75,Leopard Prototyp A,FV4004 Conway,IS-3-II
Victory,Tiger II,E 75 TS,Rheinmetall Skorpion,P.44 Pantera,IS-6,SU-130PM,ISU-152K,Progetto M35 mod 46,Centurion Mk. I,Объект 274а,Tiger II,T-44,T26E4 SuperPershing,Bat.-Châtillon Bourrasque,leKpz M 41 90 mm GF,Cz20_ShPTK_TVP_100_mm,Tiger II,SU-130PM,T-103,Progetto M35 mod 46,T-44-100,Bat.-Châtillon Bourrasque,O-Ho,T-34-3,STA-2,T-54 first prototype,Somua SM,T26E4 SuperPershing,ELC EVEN 90,Tiger II
Defeat,Concept 1B,Vz. 55,T110E4,E 50 Ausf. M,E 100,Leopard Prototyp A,WZ-111 model 1-4,Kampfpanzer 50 t,WZ-120,Progetto M40 mod. 65,AMX M4 mle. 51,Progetto M40 mod. 65,Emil II,T49,G.W. E 100,Leopard 1,Object 277,Prototipo Standard B,T54E1,Object 430U,Object 268,IS-4,TNH T Vz. 51,E 75,121B,Object 777 Version II,Kunze Panzer,Object 430,Object 261,T-54 ltwt.
Defeat,Leopard 1,TVP T 50/51,Grille 15,STB-1,T95/FV4201 Chieftain,Object 430U,E 100,Object 907,Jagdpanzer E 100,STB-1,E 100,Progetto M40 mod. 65,E 50 Ausf. M,Manticore,Panhard EBR 105,M60,Super Conqueror,E 100,Grille 15,Object 430U,STB-1,Grille 15,Progetto M40 mod. 65,STB-1,UDES 15/16,T-100 LT,Object 277,Panhard EBR 105,FV4005 Stage II,E 100
Victory,T-54 ltwt.,T30,SU-130PM,Kampfpanzer 50 t,Object 430,VK 30.02 (D),Tiger II,110,Carro d'assalto P.88,Emil I,O-Ni,Spähpanzer SP I C,T28 Prototype,G.W. Panther,SU-14-1,Škoda T 56,T30,Spähpanzer Ru 251,Bisonte C45,Char Futur 4,AMX 30 1er prototype,AMX 13 57,Tiger I,Cz20_ShPTK_TVP_100_mm,G.W. Panther,Bofors Tornvagn,T25/2,Lorraine 155 mle. 50,T29,T26E4 SuperPershing
Victory,ELC EVEN 90,Tiger I,Löwe,Tiger I,King Tiger,G.W. Panther,Cz20_ShPTK_TVP_100_mm,S-51,T-34-1,T32,Rheinmetall Skorpion,HWK 30,Super Hellcat,Challenger,O-Ni,M56 Scorpion,Rheinmetall Skorpion G,WZ-111 Alpine Tiger,T29,Super Hellcat,S-51,T25/2,M12,ELC EVEN 90,Caernarvon,Panther/M10,M41 Walker Bulldog,IS-2-II,Tiger I,IS-2 Armored
Victory,M10 RBFM,Matilda IV,KV-220-2,Pz.Kpfw. V/IV,Škoda T 24,KV-220-2,Pz.Sfl. IC,AT 2,AMX 40,SU-5,Pz.Kpfw. II Luchs,M8A1,SU-76M,Pz.Kpfw. III Ausf. J,Matilda,Pz.Kpfw. V/IV,Churchill III,Matilda,M8A1,M10 RBFM,KV-220-2,M10 RBFM,Škoda T 24,T-28,Somua SAu 40,Birch Gun,AMX 40,M4 Sherman,Somua SAu 40,ST vz. 39
Victory,Type 64,KV-1S,Strv 74,KV-2,FV304,M44,Škoda T 25,M36 Jackson,VK 30.02 (M),VK 30.01 (P),Pawlack Tank,Achilles,Cromwell,"VK 28.01 mit 10,5 cm L/28",T37,VK 36.01 (H),VK 30.01 (P),AT 8,Cromwell,"VK 28.01 mit 10,5 cm L/28",M6,M4A3E2 Sherman Jumbo,M24E2 Super Chaffee,Pawlack Tank,T37,Škoda T 25,Hummel,M44,Jagdpanzer IV,P.43 bis
Victory,E 50,E 75,FV4004 Conway,TS-5,Kampfpanzer 07 RH,SU-14-2,Char Futur 4,TS-5,Cobra,E 75 TS,Progetto CC55 mod. 54,M-III-Y,T-10,Emil II,Ferdinand,T30,TS-5,Progetto C50 mod. 66,E 50,Type 4 Heavy,T 55A,Löwe,SU-130PM,IS-3A,Type 61,Chrysler K,Jagdtiger,M54 Renegade,Lorraine 155 mle. 51,Panther II
Victory,Churchill VII,M44,KV-220-2,Pz.Sfl. IVb,Cromwell,M10 Wolverine,Pz.Sfl. IC,A-43,Type 3 Chi-Nu,T6 Medium,Matilda,AMX 40,Pz.Kpfw. III Ausf. J,BT-7,Pz.Kpfw. IV Ausf. H,P.43 bis,Cromwell,M6,Jagdpanzer 38(t) Hetzer,T-34,KV-1,SU-8,M10 Wolverine,Pz.Sfl. IVb,BT-7,VK 30.01 (H),Matilda,BT-7,StuG III Ausf. B,Matilda
Defeat,Tiger II,Udarniy,FV4201 Chieftain Proto,Grille 15,Löwe,leKpz M 41 90 mm,Emil I,Progetto M35 mod 46,AMX 50 Foch (155),Waffenträger auf Pz. IV,Charioteer,T 55A,XM551 Sheridan,STB-1,Rheinmetall Skorpion,Object 140,E 75,Grille 15,Object 257,LT-432,AMX 50 Foch B,Rheinmetall Skorpion,Manticore,SU-130PM,T30,M54 Renegade,122 TM,T28 Prototype,M-IV-Y,EMIL 1951
Victory,Konštrukta T-34/100,Progetto M35 mod 46,Kampfpanzer 07 RH,WZ-111 Alpine Tiger,Sturer Emil,T-54 first prototype,Cz20_ShPTK_TVP_100_mm,SU-100M1,M12,Jagdpanther,AMX 13 57,Hotchkiss EBR,O-Ni,IS-2,KV-3,CS-52,Centurion Mk. 5/1 RAAC,Progetto M35 mod 46,Caliban,KV-122,Comet,SU-152,IS,Super Hellcat,45TP Habicha,Hotchkiss EBR,T71 CMCD,Rheinmetall Skorpion G,G.W. Panther,SU-122-44
Defeat,SU-130PM,Rheinmetall Skorpion G,T-34-3,Progetto M35 mod 46,leKpz M 41 90 mm,Объект 274а,STG Guard,M-III-Y,Cz20_ShPTK_TVP_100_mm,M41 Walker Bulldog,M4A1 Revalorisé,Tiger II,53TP Markowskiego,Emil I,Strv S1,Škoda T 56,Emil I,122 TM,Rheinmetall Skorpion G,STG Guard,CS-52,Bat.-Châtillon 12 t,T26E5 Patriot,Charioteer,T-34-2,VK 100.01 (P),M41 Walker Bulldog,Centurion Mk. 5/1 RAAC,UDES 03,IS-3
Victory,Rheinmetall Panzerwagen,Centurion Action X,Super Conqueror,Progetto M40 mod. 65,T95/FV4201 Chieftain,Object 277,Object 261,AMX 30 B,E 50 Ausf. M,Оbject 279,Object 430U,Conqueror Gun Carriage,STB-1,Jagdpanzer E 100,STB-1,T95/FV4201 Chieftain,Object 430U,STB-1,T-62A,Kranvagn,Leopard 1,STB-1,Bat.-Châtillon 155 58,Leopard 1,XM551 Sheridan,Object 277,Object 261,Centurion Action X,T110E3,60TP Lewandowskiego
Victory,45TP Habicha,E 25,SU-100Y,40TP Habicha,Strv m/42-57 Alt A.2,Crusader 5.5-in. SP,T-50-2,Tiger I,VK 30.02 (D),M36 Jackson,T20,P.43 bis,SU-152,M24E2 Super Chaffee,KV-2,M4A1 FL 10,M18 Hellcat,Tiger I,M6,T37,T-34-85M,Sturer Emil,Super Hellcat,Strv m/42-57 Alt A.2,Tiger I,Jagdpanther,Type 58,Type 64,G.W. Panther,CS-44
Victory,Centurion Mk. 5/1 RAAC,Bat.-Châtillon Bourrasque,Rheinmetall Skorpion G,IS,T-34-3,G.W. Panther,T71 CMCD,IS-2,IS-2 Armored,Tiger I,AMX 13 57 GF,VK 30.02 (D),AT 15,AT 15A,Super Hellcat,T28,Rheinmetall Skorpion G,M-II-Y,Centurion Mk. 5/1 RAAC,SU-122-44,M12,IS-2 Armored,IS,T71 CMCD,Lorraine 40 t,KV-3,T71 CMCD,Panther,ASTRON Rex 105 mm,T28 Concept
Victory,Object 430U,Progetto M40 mod. 65,Object 430U,Kranvagn,114 SP2,Super Conqueror,121B,Object 268 Version V,Strv 103B,Vz. 55,IS-7,Object 268 Version 4,Manticore,FV4005 Stage II,Object 140,114 SP2,Grille 15,FV4005 Stage II,Leopard 1,Object 277,TVP T 50/51,Super Conqueror,Grille 15,T110E5,Object 430U,Jagdpanzer E 100,Object 140,Object 430U,WZ-132-1,Rinoceronte
Victory,KV-2,Tiger I,B.U.G.I.,Type 64,M4A3E8 Sherman,VK 36.01 (H),Ikv 90 Typ B,Bretagne Panther,Panther,G.W. Panther,Excalibur,AMX 13 F3 AM,S-51,O-I,Panhard AMD 178B,FV201 (A45),O-I,AT 7,Bretagne Panther,Sherman Firefly,M44,T-34-85M,VK 36.01 (H),Churchill VII,M36 Jackson,S-51,T-43,M12,Panhard AMD 178B,AMX 12 t
Defeat,Super Conqueror,E 100,leKpz M 41 90 mm,53TP Markowskiego,Kampfpanzer 50 t,122 TM,XM551 Sheridan,WZ-111 model 1-4,Cz20_ShPTK_TVP_100_mm,SU-130PM,Leopard Prototyp A,Bat.-Châtillon 25 t AP,E 75,T28 Prototype,Škoda T 56,Object 705A,XM551 Sheridan,Object 257,Kunze Panzer,Bat.-Châtillon Bourrasque,Centurion Mk. 7/1,Cz20_ShPTK_TVP_100_mm,AMX Canon d'assaut 105,Object 252U,T-103,Cobra,Löwe,IS-7,50TP Tyszkiewicza,M41 Walker Bulldog
Victory,T26E4 SuperPershing,Waffenträger auf Pz. IV,AMBT,Leo,Object 705,Progetto C50 mod. 66,IS-6,M12,T-103,Bat.-Châtillon 12 t,Panhard AML Lynx 6x6,Super Hellcat,Carro d'assalto P.88,Super Hellcat,GSR 3301 Setter,E 75,AE Phase I,M4A1 Revalorisé,Super Hellcat,Panhard EBR 75 (FL 10),T-34-2G FT,WZ-132,Tiger (P),AMX 13 57 GF,Cz20_ShPTK_TVP_100_mm,T26E4 SuperPershing,Jagdtiger,IS-3,Lorraine 155 mle. 50,CS-44
Victory,IS-3,TS-54,SU-130PM,ISU-152K,Škoda T 56,M4A1 Revalorisé,LT-432,122 TM,M41 Walker Bulldog,Tiger II,Rheinmetall Skorpion G,LT-432,Rhm.-Borsig Waffenträger,Bofors Tornvagn,T26E4 SuperPershing,T-34-3,Type 59,Škoda T 56,Strv S1,Turtle Mk. I,IS-2-II,AMX M4 mle. 49 Liberté,Rheinmetall Skorpion G,Rhm.-Borsig Waffenträger,Tiger II,TVP VTU Koncept,ELC EVEN 90,LT-432,Bat.-Châtillon 12 t,VK 75.01 (K)
